127.0.0.1, 2018-09-13 14:59:56, GET, /admin/static/_2.17.1/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.007000
127.0.0.1, 2018-09-13 14:59:56, GET, /admin/static/_2.17.1/js/bootstrap.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-09-13 14:59:56, GET, /admin/static/_2.17.1/images/questions.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-09-13 14:59:57, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-09-13 15:00:05, POST, /admin/default/index, HTTP/1.1, 303, 0.047000
127.0.0.1, 2018-09-13 15:00:05, GET, /admin/default/peek/welcome/views/default/index.html, HTTP/1.1, 200, 0.071000
127.0.0.1, 2018-09-13 15:00:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-09-13 15:00:15, GET, /admin/default/site, HTTP/1.1, 200, 0.095000
127.0.0.1, 2018-09-13 15:00:15, GET, /admin/static/_2.17.1/images/folder_locked.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-09-13 15:00:15, GET, /admin/static/_2.17.1/images/folder.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-09-13 15:00:15, GET, /admin/static/_2.17.1/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-09-13 15:00:15, POST, /admin/default/check_version, HTTP/1.1, 200, 0.608000
127.0.0.1, 2018-09-13 15:00:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-09-13 15:07:08, GET, /main/hello, HTTP/1.1, 200, 0.034000
127.0.0.1, 2018-09-13 15:07:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-09-13 15:07:14, GET, /main/hello/index, HTTP/1.1, 200, 0.034000
127.0.0.1, 2018-09-13 15:07:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-09-13 15:09:24, GET, /main/hello/index, HTTP/1.1, 200, 0.035000
127.0.0.1, 2018-09-13 15:09:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-09-13 15:09:28, GET, /main/hello/say, HTTP/1.1, 200, 0.035000
127.0.0.1, 2018-09-13 15:09:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
